indicator,n,mean,sd,median,min,max
GDP,1870,17127.25493200028,24445.617961885284,6437.250651653405,253.44565118586,224582.449752101
Inflation,1701,8.189092821763266,27.592199113587224,3.04344334698473,-6.68732094212666,557.201817362051
LaborForce,1665,60.74515797940798,10.637406330009698,61.422,23.091,87.575
LifeExp,1897,72.5655215809301,7.765471904954285,73.422,18.818,86.372
Unemployment,1665,7.623538299013299,5.8453212017634675,5.571,0.1,35.359
